,date,y_pred,y,diff
0,2017-11-29,127965.33692616185,157334.28,29368.94307383815
1,2017-11-30,120541.25985394056,145273.37000000002,24732.110146059465
2,2017-12-01,119823.75617505328,134871.22000000003,15047.463824946753
3,2017-12-02,116130.97317693537,126226.02000000002,10095.046823064651
4,2017-12-03,112597.29331170526,126699.31000000001,14102.016688294752
5,2017-12-04,111969.31848280267,123378.64000000001,11409.321517197342
6,2017-12-05,111702.27355731178,113112.21000000002,1409.9364426882385
7,2017-12-06,111762.34073999341,107710.82000000004,4051.5207399933715
8,2017-12-07,111495.53044000994,100227.00000000003,11268.530440009912
9,2017-12-08,111347.10446017365,91325.29000000004,20021.814460173613
10,2017-12-09,111247.10429383894,88494.07000000002,22753.034293838922
11,2017-12-10,111011.98128928556,99174.90000000002,11837.081289285532
12,2017-12-11,110950.05394375048,97734.05000000002,13216.00394375046
13,2017-12-12,110785.61385567844,87475.65000000002,23309.96385567842
14,2017-12-13,110850.95243015053,88832.66,22018.292430150526
15,2017-12-14,110820.11072790259,77326.59,33493.52072790259
16,2017-12-15,110905.6020169867,71305.91,39599.69201698669
17,2017-12-16,110854.26973047513,65088.02,45766.24973047514
18,2017-12-17,110804.45568962507,72847.06999999999,37957.38568962508
19,2017-12-18,110834.01486193707,77197.56999999999,33636.44486193708
20,2017-12-19,110915.79794897657,79070.92,31844.877948976573
21,2017-12-20,110912.59007639474,72514.92,38397.670076394745
22,2017-12-21,110936.13298163126,75712.60999999999,35223.52298163128
23,2017-12-22,110938.72277716667,75712.61,35226.112777166665
24,2017-12-23,110935.94587879209,79716.84,31219.105878792092
25,2017-12-24,110930.21572690523,86117.09,24813.12572690523
26,2017-12-25,110927.2571917665,90923.7,20003.557191766507
27,2017-12-26,110925.12026261531,96554.78,14370.340262615311
28,2017-12-27,110921.23365436144,100309.87,10611.363654361441
29,2017-12-28,110918.62427883904,104482.25999999998,6436.364278839057
30,2017-12-29,110910.16922164972,104482.26,6427.909221649723
31,2017-12-30,110895.86915099998,108319.81999999999,2576.0491509999847
32,2017-12-31,110867.71911390989,113009.65,2141.9308860901074
33,2018-01-01,110832.66739437082,116391.18,5558.512605629177
34,2018-01-02,110845.55198311913,119774.78,8929.228016880865
35,2018-01-03,110847.10029406572,121440.90999999999,10593.809705934269
36,2018-01-04,110811.73663000161,124234.67999999998,13422.943369998364
37,2018-01-05,110805.57917962062,120887.57999999999,10082.00082037937
38,2018-01-06,110797.95256739046,120739.67,9941.717432609541
39,2018-01-07,110736.84328797366,125365.26,14628.41671202633
40,2018-01-08,110721.7649319038,126485.09,15763.325068096194
41,2018-01-09,110851.32343122325,119205.95000000001,8354.626568776759
42,2018-01-10,110852.44028412848,118529.08000000002,7676.639715871541
43,2018-01-11,110883.70326365608,114583.14,3699.4367363439233
44,2018-01-12,110908.22700061728,105907.87,5000.357000617281
45,2018-01-13,110906.5960163715,107340.9,3565.696016371512
46,2018-01-14,110880.00250731647,109986.34000000001,893.6625073164614
47,2018-01-15,110882.65492546583,113883.71,3001.055074534175
48,2018-01-16,110871.50798271112,109471.05000000002,1400.457982711101
49,2018-01-17,110894.65251616399,107198.14000000001,3696.5125161639735
50,2018-01-18,110886.03153907394,109746.15000000002,1139.8815390739182
51,2018-01-19,110842.46172624614,105891.55,4950.911726246137
52,2018-01-20,110876.91856302354,104040.08,6836.8385630235425
53,2018-01-21,110876.91856302354,107771.57,3105.3485630235373
54,2018-01-22,110890.39934490416,107739.03000000001,3151.3693449041457
55,2018-01-23,110893.10093630418,106207.12000000001,4685.980936304171
56,2018-01-24,110901.82903861947,106282.89000000001,4618.939038619457
57,2018-01-25,110910.47911972583,105104.47000000002,5806.009119725815
58,2018-01-26,110912.74463311044,101349.38000000002,9563.364633110425
59,2018-01-27,110915.64293612885,101098.03000000001,9817.612936128833
60,2018-01-28,110915.64293612885,105276.56,5639.082936128849
61,2018-01-29,110917.47091729069,107539.63,3377.840917290683
62,2018-01-30,110917.91156555327,108496.31,2421.6015655532683
63,2018-01-31,110918.08820227133,111608.45999999999,690.3717977286578
64,2018-02-01,110919.08978505225,110908.38,10.709785052240477
65,2018-02-02,110919.60286297508,106180.98000000001,4738.622862975069
66,2018-02-03,110919.76866676082,108192.79000000001,2726.978666760813
67,2018-02-04,110919.59069903994,116552.84000000001,5633.249300960073
68,2018-02-05,110919.38415889903,118864.46000000002,7945.075841100988
69,2018-02-06,110919.4805241826,119883.04,8963.559475817397
70,2018-02-07,110919.39482990274,121627.22,10707.825170097261
71,2018-02-08,110918.43064408223,121575.81999999999,10657.389355917767
72,2018-02-09,110917.52126962785,118822.67,7905.1487303721515
73,2018-02-10,110916.96423828663,117963.6,7046.635761713376
74,2018-02-11,110914.87444171858,124632.70000000001,13717.82555828143
75,2018-02-12,110915.45535614282,125926.23000000001,15010.774643857192
76,2018-02-13,110914.68187334047,127392.84000000001,16478.158126659546
77,2018-02-14,110918.05081955528,125375.91000000002,14457.859180444735
78,2018-02-15,110917.88444627216,126893.07000000002,15975.18555372786
79,2018-02-16,110918.42628384639,122887.54000000002,11969.113716153632
80,2018-02-17,110919.25511483196,120326.35,9407.094885168044
81,2018-02-18,110918.63646938569,125958.91,15040.273530614315
82,2018-02-19,110918.45655183883,127206.46999999999,16288.01344816116
83,2018-02-20,110919.33776369032,129747.79999999999,18828.46223630967
84,2018-02-21,110918.90246382939,131924.53999999998,21005.637536170587
85,2018-02-22,110919.6306848478,131668.37,20748.739315152197
86,2018-02-23,110919.75866464718,126785.98999999998,15866.2313353528
87,2018-02-24,110919.3399717971,127076.58999999997,16157.250028202863
88,2018-02-25,110918.66449259272,134170.84,23252.17550740727
89,2018-02-26,110918.70364816843,136913.81999999998,25995.116351831544
90,2018-02-27,110919.53595277162,139958.46,29038.92404722837
91,2018-02-28,110920.09593737387,139754.63,28834.53406262613
92,2018-03-01,110920.12529690197,134108.12,23187.994703098026
93,2018-03-02,110920.1575617672,127614.44,16694.282438232796
94,2018-03-03,110920.0279081824,123014.37,12094.342091817598
95,2018-03-04,110919.820638954,123014.37000000001,12094.54936104601
96,2018-03-05,110919.83968500758,121092.64,10172.800314992419
97,2018-03-06,110919.92615266911,117610.01,6690.083847330883
98,2018-03-07,110919.89759072752,120198.18,9278.282409272477
99,2018-03-08,110919.88006099562,117691.64000000001,6771.759939004391
100,2018-03-09,110919.88043303456,112775.53,1855.6495669654396
101,2018-03-10,110919.88935255911,112564.67,1644.7806474408862
102,2018-03-11,110919.87785670026,115740.06999999999,4820.192143299733
103,2018-03-12,110919.83644680791,118125.82999999999,7205.993553192078
104,2018-03-13,110919.87795181008,114869.03999999998,3949.162048189901
105,2018-03-14,110919.88432651896,113907.23,2987.3456734810316
106,2018-03-15,110919.87826854455,112298.64,1378.7617314554518
107,2018-03-16,110919.87615429056,106979.89000000001,3939.986154290542
108,2018-03-17,110919.88440446368,107045.62000000001,3874.264404463669
109,2018-03-18,110919.85057948154,121108.26000000001,10188.409420518467
110,2018-03-19,110919.86431240644,122167.75000000001,11247.885687593574
111,2018-03-20,110919.89240171017,121230.07,10310.17759828984
112,2018-03-21,110919.9007071315,121638.27000000002,10718.36929286852
113,2018-03-22,110919.910615144,119086.78000000001,8166.869384856007
114,2018-03-23,110919.92405464417,112938.35000000002,2018.425945355848
115,2018-03-24,110919.9064936164,112707.96000000002,1788.0535063836141
116,2018-03-25,110919.88099061599,120276.15000000002,9356.269009384036
117,2018-03-26,110919.88326613302,120877.19000000002,9957.306733866993
118,2018-03-27,110919.90072192413,119450.02,8530.119278075872
119,2018-03-28,110919.87037839103,119999.00000000001,9079.129621608983
120,2018-03-29,110919.75948776271,117397.97,6478.210512237289
121,2018-03-30,110919.7540958392,111501.17000000001,581.4159041608073
122,2018-03-31,110919.89020228134,113826.26,2906.369797718653
123,2018-04-01,110919.87736070614,113826.26,2906.38263929385
124,2018-04-02,110919.74169678391,119772.12999999999,8852.388303216081
125,2018-04-03,110918.37183489748,126123.04,15204.668165102514
126,2018-04-04,110917.34034707653,129475.43000000001,18558.089652923474
127,2018-04-05,110915.50606779763,128575.15999999997,17659.653932202345
128,2018-04-06,110916.93917752398,121415.91,10498.970822476025
129,2018-04-07,110917.24039324373,123473.24999999999,12556.009606756255
130,2018-04-08,110915.78177882884,130943.70000000001,20027.918221171174
131,2018-04-09,110916.87843668538,133809.63999999998,22892.761563314605
132,2018-04-10,110918.16747560565,134968.82,24050.65252439436
133,2018-04-11,110918.59243674132,135976.23,25057.637563258686
134,2018-04-12,110917.72198198849,136277.77000000002,25360.048018011526
135,2018-04-13,110915.78396956388,132491.06,21575.276030436115
136,2018-04-14,110915.30641252291,134599.15000000002,23683.84358747711
137,2018-04-15,110912.22570117489,139506.37000000002,28594.144298825137
138,2018-04-16,110914.54970587377,140223.03000000003,29308.48029412626
139,2018-04-17,110919.80607994406,130617.39000000001,19697.583920055957
140,2018-04-18,110919.84120604818,130760.41,19840.568793951825
141,2018-04-19,110919.84517964305,131605.94,20686.094820356957
142,2018-04-20,110919.86401443386,126584.70000000001,15664.835985566155
143,2018-04-21,110919.86443019673,127507.38,16587.515569803276
144,2018-04-22,110919.80711276914,132188.72,21268.912887230865
145,2018-04-23,110919.77907197486,132805.76,21885.98092802515
146,2018-04-24,110919.81182832929,132850.56,21930.74817167071
147,2018-04-25,110919.8414969812,133611.56,22691.718503018797
148,2018-04-26,110919.85787306516,133245.03999999998,22325.182126934815
149,2018-04-27,110919.87439846224,126032.04000000001,15112.165601537767
150,2018-04-28,110919.87455285217,123789.93000000002,12870.055447147854
151,2018-04-29,110919.86571354535,123789.93000000001,12870.064286454653
152,2018-04-30,110919.86343464491,125628.49000000002,14708.626565355109
153,2018-05-01,110919.28836107737,129124.98,18205.691638922624
154,2018-05-02,110919.71336116147,128983.89,18064.17663883853
155,2018-05-03,110919.8576134683,129191.26,18271.4023865317
156,2018-05-04,110919.88292361626,121990.42,11070.537076383742
157,2018-05-05,110919.88673300266,124867.14,13947.253266997344
158,2018-05-06,110919.85762093544,134030.95,23111.092379064576
159,2018-05-07,110919.87729249873,136772.13999999998,25852.262707501257
160,2018-05-08,110919.86997921654,133784.37,22864.500020783453
161,2018-05-09,110919.8581249017,131675.3,20755.441875098288
162,2018-05-10,110919.93911014813,133175.84999999998,22255.910889851846
163,2018-05-11,110919.98923453169,127972.22000000002,17052.230765468325
164,2018-05-12,110920.01961871698,129039.39000000001,18119.370381283035
165,2018-05-13,110919.94151739364,134633.27000000002,23713.328482606375
166,2018-05-14,110919.93575233892,135267.28000000003,24347.34424766111
167,2018-05-15,110920.11842962503,136406.90000000002,25486.781570374995
168,2018-05-16,110920.17563304504,136448.96000000002,25528.784366954977
169,2018-05-17,110920.13693566846,135186.33000000002,24266.193064331557
170,2018-05-18,110920.19553456942,130004.28,19084.084465430584
171,2018-05-19,110920.18263046321,126029.79,15109.607369536781
172,2018-05-20,110919.95892776261,131738.78,20818.82107223739
173,2018-05-21,110919.95249930365,131088.90000000002,20168.947500696377
174,2018-05-22,110920.1717930608,130798.31000000001,19878.138206939213
175,2018-05-23,110920.48742882039,132627.57,21707.08257117962
176,2018-05-24,110920.32015167637,130632.04000000002,19711.719848323657
177,2018-05-25,110920.27063736306,124526.74000000003,13606.46936263697
178,2018-05-26,110920.1992894973,123375.71000000002,12455.510710502727
179,2018-05-27,110919.96985077256,129621.26000000001,18701.290149227454
180,2018-05-28,110919.96169549432,132972.63000000003,22052.668304505714
181,2018-05-29,110920.00163206745,139790.34,28870.33836793255
182,2018-05-30,110920.03488833294,141715.9,30795.86511166705
183,2018-05-31,110920.19740450812,141431.94999999998,30511.752595491867
184,2018-06-01,110920.24743109604,135627.17,24706.922568903974
185,2018-06-02,110920.22373479036,131354.44,20434.216265209645
186,2018-06-03,110919.93551622982,137718.14,26798.204483770198
187,2018-06-04,110919.93437106728,135240.26,24320.325628932726
188,2018-06-05,110919.98516301796,133443.16,22523.17483698204
189,2018-06-06,110919.73780994338,129661.91000000002,18742.172190056634
190,2018-06-07,110919.81735000119,128792.33000000003,17872.51264999884
191,2018-06-08,110919.9079814025,124896.03000000003,13976.122018597525
192,2018-06-09,110919.88026811472,121101.36000000003,10181.479731885309
193,2018-06-10,110919.8630771766,126307.47000000003,15387.606922823426
194,2018-06-11,110919.86656467458,125914.47000000003,14994.60343532545
195,2018-06-12,110919.83970449759,125423.87000000002,14504.030295502438
196,2018-06-13,110919.8634291534,125424.71,14504.84657084661
197,2018-06-14,110919.74579898814,123678.99,12759.244201011868
198,2018-06-15,110919.66072042377,117990.99,7071.329279576239
199,2018-06-16,110919.85905454605,117820.43000000001,6900.570945453961
200,2018-06-17,110919.87210818604,122870.89,11951.017891813957
201,2018-06-18,110919.88207600114,125455.25,14535.367923998856
202,2018-06-19,110919.89119261572,124716.6,13796.70880738429
203,2018-06-20,110919.88554567558,127053.84000000001,16133.954454324426
204,2018-06-21,110919.87211358588,125881.68000000001,14961.807886414128
205,2018-06-22,110919.87675629756,119053.6,8133.72324370245
206,2018-06-23,110919.87530790425,117342.99,6423.114692095754
207,2018-06-24,110919.85000036193,122675.0,11755.149999638073
208,2018-06-25,110919.859117556,121995.0,11075.140882444
209,2018-06-26,110919.87776440955,119932.19,9012.312235590449
210,2018-06-27,110919.88156091432,121300.13,10380.248439085684
211,2018-06-28,110919.84566677846,117400.77000000002,6480.924333221556
212,2018-06-29,110919.82899871292,111311.56000000001,391.73100128708757
213,2018-06-30,110919.88528293768,110566.61,353.2752829376841
214,2018-07-01,110919.88204205372,114995.37,4075.487957946272
215,2018-07-02,110919.88145430296,119358.69,8438.808545697044
216,2018-07-03,110919.89718700404,117826.99,6907.092812995965
217,2018-07-04,110919.89322300276,117140.01999999999,6220.126776997233
